StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
 

Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater/Cru, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,How well do each of the following categories align with your academic interests? - STEM,How well do each of the following categories align with your academic interests? - Humanities,Which subject assigns the most homework? (Select one),"If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - CADS","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - English","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Fine Arts","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - History","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Math","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Mind/Body","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Science","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - World Language","If you had unlimited time and no graduation requirements, would you be interested in taking an interdisciplinary elective at Crystal (e.g., Climate Change and Policy, Bioethics, History of Art, Artificial Intelligence in Literature, etc.)?","If you answered yes to the previous question, which two departments would you most like to collaborate? (Select 2)","If you would like to explain your interests in interdisciplinary collaboration/electives in more detail, please do so below.",What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?
2/22/2021 11:28:20,2/22/2021 11:32:55,IP Address,100,274,True,2/22/2021 11:32:55,R_3r1zS1FVQVid0Xf,gl,EN,5.7,15,1,8,4,1.5,1.5,9.5,7.5,1,3,5,2,4,8,2,3,1,4,"Sports (XC, Basketball, Baseball) or Mock Trial",3,4,1,2,2,3,5,9,World Language,8,2,6,1,4,7,5,3,No,,,9,Male,,4,Less than 15 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:28:09,2/22/2021 11:33:30,IP Address,100,320,True,2/22/2021 11:33:30,R_bgBUEggyoxi6cLf,gl,EN,7.5,4,4,4,3,4,7,7.5,8.5,1,2,3,4,5,5,4,1,3,2,,3,1,2,4,1,4,5,8,Math,8,2,6,1,3,7,4,5,Yes,"History,Math",,9,Female,,3 or fewer,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:29:34,2/22/2021 11:33:40,IP Address,100,246,True,2/22/2021 11:33:40,R_3mlNlboyxwwxSAs,gl,EN,4,2,2,5,10,2.6,4.5,7.1,9,1,3,5,2,4,0.3,2,3,4,1,chamber ensemble,2,3,1,4,4,0.6,3,0,Math,2,5,3,7,4,8,1,6,No,,we need table tennis as a sport,10,Male,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:27:25,2/22/2021 11:33:54,IP Address,100,389,True,2/22/2021 11:33:55,R_1F49NNseRCCmWKc,gl,EN,9.3,0,0,12,3,3.5,4,8,8,2,1,3,5,4,10,3,2,1,4,Mock Trial,4,3,1,2,0,5,8,6,Math,6,1,8,2,3,7,4,5,Yes,"Fine Arts,History",,9,Male,,3 or fewer,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Agnostic,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:27:14,2/22/2021 11:34:19,IP Address,100,425,True,2/22/2021 11:34:20,R_eDOUtU4XO8FOJYR,gl,EN,7.7,5,0,0,2,5.6,6,7.1,8.4,1,2,4,3,5,5,2,3,4,1,,2,1,3,4,3,2,0,4,Science,8,4,1,3,5,6,7,2,Yes,"Fine Arts,World Language",,9,Female,,5,Less than 15 minutes,Hispanic or Latina/o/x,,Not sure/Prefer not to answer,,Did not finish high school
2/22/2021 11:28:39,2/22/2021 11:35:12,IP Address,100,393,True,2/22/2021 11:35:13,R_qyaZjKL3qtawocF,gl,EN,8.2,4,2,0,3,3.7,4.6,7.1,8.4,1,2,4,3,5,5,2,3,4,1,,1,2,4,3,1,2.1,5,6,Math,8,4,1,2,6,7,5,3,Yes,"Fine Arts,History",,10,Prefer not to answer,,3 or fewer,15 to 30 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:29:58,2/22/2021 11:35:21,IP Address,100,323,True,2/22/2021 11:35:21,R_3F3z1t65lL2a64J,gl,EN,8.5,15,3,2,2,3.5,6.5,7.5,10,1,2,5,3,4,8.5,2,4,1,3,"Sports, more specifically soccer",2,1,3,4,3,4,8,7,Math,4,6,3,2,8,7,1,5,Yes,"Mind/Body,Science",,9,Female,,5,Less than 15 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:30:07,2/22/2021 11:35:23,IP Address,100,315,True,2/22/2021 11:35:23,R_21HwYxznb2gzJxF,gl,EN,7,10,0,14,0,3,5,7,8,5,1,4,3,2,7,3,2,1,4,Mock Trial,3,4,1,2,3,3,10,6,Math,8,3,5,1,7,6,4,2,Yes,"History,World Language",,10,Female,,4,Less than 15 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:30:28,2/22/2021 11:35:56,IP Address,100,327,True,2/22/2021 11:35:57,R_AI1B12oR2LOyDDP,gl,EN,7.2,1,3,1,12,3.1,6,6.6,9,1,2,3,4,5,0.1,1,2,4,3,clubs,4,3,2,1,1,0.2,10,4,English,3,6,5,7,2,8,1,4,Yes,"Math,Science",,9,Female,,4,30 to 60 minutes,"Asian: East Asian,Multiracial,White",,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
