Row 0,Row 1,Question ID,OptionsProvided,QuestionType,DataType,Response Options,Minimum,Maximum,Distribution
Q1,Privacy Statement,Q1,,,,,,,
Q2_1,What does your free-time vs. obligations balance look like?,Q2_1,TRUE,choice,number,range,0,10,
Q3_7,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)",Q3_7,TRUE,choice,number,range,0,20,
Q3_15,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?",Q3_15,TRUE,choice,number,range,0,20,
Q3_16,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?",Q3_16,TRUE,choice,number,range,0,20,
Q3_17,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Q3_17,TRUE,choice,number,range,0,20,
Q4_2,Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Q4_2,TRUE,choice,number,range,0,12,
Q4_8,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Q4_8,TRUE,choice,number,range,0,12,
Q5_5,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Q5_5,TRUE,choice,number,range,0,12,
Q5_9,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,Q5_9,TRUE,choice,number,range,0,12,
Q6_1,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,Q6_1,TRUE,rank,number,range,1,5,
Q6_2,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,Q6_2,TRUE,rank,number,range,1,5,
Q6_3,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,Q6_3,TRUE,rank,number,range,1,5,
Q6_4,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,Q6_4,TRUE,rank,number,range,1,5,
Q6_5,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),Q6_5,TRUE,rank,number,range,1,5,
Q7_1,What is your level of satisfaction with the Crystal sports experience?,Q7_1,TRUE,choice,number,range,0,10,
