StartDate,EndDate,Duration (in seconds),ResponseId,Division,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25,Q26_10,Q26_9,Q26_7,Q26_8,Q26_5,Q26_12,Q27_4,Q27_10,Q27_9,Q27_7,Q27_8,Q27_11
Start Date,End Date,Duration (in seconds),Response ID,Division,What does your free-time vs. obligations balance look like?,"Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many Crystal events do you attend per semester? (e.g., sports games, homecoming, dances, lunar banquet, etc.)","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend volunteering and/or doing community service?","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *Crystal* extracurriculars?","Time Audit: Events and Extracurriculars
  
 
 Note: If your answer would be 20+, move the slider all the way to the right (20). - How many hours per week do you spend participating in *non-Crystal* extracurriculars?",Time Audit: Homework - How many hours do you spend on homework on a typical weekday?,Time Audit: Homework - How many hours do you spend on homework on a typical weekend (both days combined)?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekday?,Time Audit: Sleep - How many hours of sleep do you get on a typical weekend day?,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - No Homework Weekends,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Late Starts,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Limit on Number of Major Assessments Per Day,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - Time Limits for Homework Duration,What does Crystal do that is most likely to allow you to get more sleep than usual? (Drag to rank) - ERFs (Extension Request Forms),What is your level of satisfaction with the Crystal sports experience?,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Clubs-Period Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - After School Clubs,What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Sports,"What categories of Crystal extracurriculars do you feel are most engaging for you personally? (Drag to rank) - Fine Arts (e.g., Theater/Cru, Music, Dance, Visual Arts)","If you had to choose one *specific* Crystal extracurricular that you find most engaging, what would it be?",What categories of events should Crystal focus on improving? (Drag to rank) - Arts,What categories of events should Crystal focus on improving? (Drag to rank) - Culture/Holidays,What categories of events should Crystal focus on improving? (Drag to rank) - Sports,What categories of events should Crystal focus on improving? (Drag to rank) - Dances,"During Spirit Weeks, how many days do you typically participate?",Do you feel that Crystal has enough extracurricular activities related to your academic interests?,How well do each of the following categories align with your academic interests? - STEM,How well do each of the following categories align with your academic interests? - Humanities,Which subject assigns the most homework? (Select one),"If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - CADS","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - English","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Fine Arts","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - History","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Math","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Mind/Body","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - Science","If you had unlimited time and no graduation requirements, which subjects would you want to delve more deeply into? (Drag to rank) - World Language","If you had unlimited time and no graduation requirements, would you be interested in taking an interdisciplinary elective at Crystal (e.g., Climate Change and Policy, Bioethics, History of Art, Artificial Intelligence in Literature, etc.)?","If you answered yes to the previous question, which two departments would you most like to collaborate? (Select 2)","If you would like to explain your interests in interdisciplinary collaboration/electives in more detail, please do so below.",What is your grade level?,What is your gender identity? - Selected Choice,What is your gender identity? - Other (optional specification) - Text,How many people do you live with (including yourself)?,How long is your average commute to school?,What is your racial or ethnic identification? (select all that apply) - Selected Choice,What is your racial or ethnic identification? (select all that apply) - Prefer to self-describe - Text,With what religious affiliation do you most closely identify? - Selected Choice,With what religious affiliation do you most closely identify? - Other (optional specification) - Text,What is the highest level of education completed by either of your parents or guardians?,What is your favorite subject? (Drag to rank) - English,What is your favorite subject? (Drag to rank) - Fine Arts,What is your favorite subject? (Drag to rank) - History,What is your favorite subject? (Drag to rank) - Math,What is your favorite subject? (Drag to rank) - Science,What is your favorite subject? (Drag to rank) - World Language,What is your favorite Crystal tradition? (Drag to rank) - Snow Day,What is your favorite Crystal tradition? (Drag to rank) - Lip Sync,What is your favorite Crystal tradition? (Drag to rank) - PoP Week,What is your favorite Crystal tradition? (Drag to rank) - Secret Gryphon,What is your favorite Crystal tradition? (Drag to rank) - Trivia Bowl,What is your favorite Crystal tradition? (Drag to rank) - Halls
2/22/2021 18:18:33,2/22/2021 18:27:45,551,R_3imzjMM8UGPkYFy,MS,5,5,0,0,2,2.5,2,9,11,1,2,3,4,,6.8,3,4,1,2,In person sport are usually what gets me engaged,2,3,1,4,4,4.2,,,World Language,,,,,,,,,,,,8,Male,,5,15 to 30 minutes,Hispanic or Latina/o/x,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Did not finish high school,4,5,6,1,3,2,2,4,1,3,5,6
2/22/2021 11:29:34,2/22/2021 11:33:40,246,R_3mlNlboyxwwxSAs,US,4,2,2,5,10,2.6,4.5,7.1,9,1,3,5,2,4,0.3,2,3,4,1,chamber ensemble,2,3,1,4,4,0.6,3,0,Math,2,5,3,7,4,8,1,6,No,,we need table tennis as a sport,10,Male,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:35:37,2/22/2021 11:40:24,286,R_28zG1CbCRVC6R3n,MS,3,4,0,0,2,2,1,8,9.5,1,2,3,4,,8.4,2,3,4,1,theater,3,2,4,1,5,5,,,Science,,,,,,,,,,,,8,Female,,3 or fewer,15 to 30 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",2,1,3,6,4,5,1,3,2,4,5,6
2/22/2021 11:35:51,2/22/2021 11:42:10,378,R_1IKj3r80QPtqVc5,MS,5.3,4,0,0,8,0.8,1.2,8.6,9.1,2,1,3,4,,6.3,1,3,2,4,,3,4,1,2,2,2.5,,,Math,,,,,,,,,,,,8,Male,,4,15 to 30 minutes,White,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",2,3,5,1,6,4,1,2,3,4,5,6
2/22/2021 11:35:32,2/22/2021 11:41:36,363,R_3plJ1bJz28mGVa9,US,5,6,0,1,6,2,2.5,8,8,4,1,3,2,5,4,1,2,4,3,,3,2,1,4,0,1,7,6,Math,8,4,3,2,5,7,1,6,Yes,"History,Science",,9,Male,,3 or fewer,Less than 15 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:39:03,2/22/2021 11:43:22,259,R_2xLzYhCbeGOJohV,US,8.2,4,0,0,18,4.1,7.9,5,7,1,2,4,3,5,5.1,2,3,4,1,,3,2,4,1,2,3,8,4,Math,7,4,2,5,8,6,1,3,No,,,9,Female,,4,30 to 60 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:35:34,2/22/2021 11:38:44,190,R_2rkmlPVnocnmCao,US,7.9,10,3,0,20,4,9,8.5,12,1,2,5,3,4,5.2,3,1,2,4,soccer,2,3,1,4,3,2,4,10,Science,7,2,3,4,8,6,1,5,Yes,"Science,World Language",,11,Female,,3 or fewer,15 to 30 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:28:20,2/22/2021 11:32:55,274,R_3r1zS1FVQVid0Xf,US,5.7,15,1,8,4,1.5,1.5,9.5,7.5,1,3,5,2,4,8,2,3,1,4,"Sports (XC, Basketball, Baseball) or Mock Trial",3,4,1,2,2,3,5,9,World Language,8,2,6,1,4,7,5,3,No,,,9,Male,,4,Less than 15 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
2/22/2021 11:35:41,2/22/2021 11:43:04,443,R_x3jm8lG9OrClADn,US,7.8,6,2,15,4,5.5,8,7,9,1,2,5,4,3,4,3,2,4,1,Plays/musicals,1,2,3,4,4,4,7,7,Science,7,4,6,2,5,8,1,3,Yes,"History,Science",,11,Female,,4,Less than 15 minutes,Asian: Indian or South/Southeast Asian,,Hindu,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)",,,,,,,,,,,,
